Round,Games,Games Containing Predicted Winner,Correct Predictions,Total Upsets,Upsets Predicted,Games Containing Predicted Upset Winner,Correct Upset Predictions,Total Accuracy,Adjusted Accuracy,Upset Precision,Upset Recall,Adjusted Upset Accuracy
Round of 64,32,32,21,9,6,6,2,0.656,0.656,0.333,0.222,0.333
Round of 32,16,12,7,8,2,1,1,0.438,0.583,0.5,0.125,1.0
Sweet Sixteen,8,4,3,4,2,0,0,0.5,0.75,0.0,0.0,N/A
Elite Eight,4,1,1,1,1,0,0,0.25,1.0,0.0,0.0,N/A
Final Four,2,1,1,0,0,0,0,0.5,1.0,N/A,0.0,N/A
Championship,1,1,1,0,0,0,0,1.0,1.0,N/A,0.0,N/A
Total,63,51,34,22,11,7,3,0.540,0.667,0.272,0.136,0.429
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,